studyId,pmid,pmcid,doi,status,errmsg
all_stjude_2015,25730765,PMC4553269,10.1038/ng.3230,ok,
acyc_fmi_2014,24418857,PMC11834963,,error;elink,Identifier not found in PMC
acyc_mgh_2016,26829750,PMC4767593,10.1038/ng.3502,ok,
appendiceal_msk_2022,36493333,PMC10043565,10.1200/JCO.22.01392,ok,
blca_plasmacytoid_mskcc_2016,26901067,PMC4827439,10.1038/ng.3503,ok,
blca_mskcc_solit_2014,25092538,PMC4312739,10.1016/j.eururo.2014.06.050,ok,
blca_nmibc_2017,28583311,PMC6007852,10.1016/j.eururo.2017.05.032,ok,
brca_mapk_hp_msk_2021,34795269,PMC8602441,10.1038/s41467-021-27093-y,ok,
bowel_colitis_msk_2022,36611031,PMC9825391,10.1038/s41467-022-35592-9,ok,
bladder_columbia_msk_2018,29625057,PMC5890941,10.1016/j.cell.2018.03.017,ok,
bladder_msk_2023,37682528,PMC11233068,10.1158/1078-0432.CCR-23-1283,ok,
bm_nsclc_mskcc_2023,37591896,PMC10435547,10.1038/s41467-023-40793-x,ok,
cfdna_msk_2019,31768066,PMC7061455,10.1038/s41591-019-0652-7,ok,
ccrcc_dfci_2019,29301960,PMC6035749,10.1126/science.aan5951,ok,
cervix_msk_2023,37643132,PMC10644000,10.1158/1078-0432.CCR-23-1078,ok,
chol_jhu_2013,24185509,PMC4013720,10.1038/ng.2813,ok,
chol_nccs_2013,24185513,PMC12468851,,error;elink,Identifier not found in PMC
chol_nus_2012,22561520,PMC12468851,,error;elink,Identifier not found in PMC
coadread_mskcc,25164765,PMC4189196,10.1186/s13059-014-0454-7,ok,
cllsll_icgc_2011,22158541,PMC12541443,,error;elink,Identifier not found in PMC
coad_caseccc_2015,25583493,PMC4313860,10.1073/pnas.1417064112,ok,
chol_msk_2018,29848569,PMC6642361,10.1158/1078-0432.CCR-18-0078,ok,
chol_icgc_2017,28667006,PMC5628134,10.1158/2159-8290.CD-17-0368,ok,
coadread_mskresistance_2022,36355783,PMC9827113,10.1158/2159-8290.CD-22-0405,ok,
cscc_dfarber_2015,25589618,PMC4359951,10.1158/1078-0432.CCR-14-1773,ok,
ctcl_columbia_2015,26551667,PMC4878831,10.1038/ng.3442,ok,
crc_eo_2020,34405229,PMC8634406,10.1093/jnci/djab124,ok,
crc_apc_impact_2020,32730818,PMC7680360,10.1053/j.gastro.2020.07.041,ok,
crc_nigerian_2020,34819518,PMC8613248,10.1038/s41467-021-27106-w,ok,
crc_dd_2022,35235413,PMC8906458,10.1200/PO.21.00365,ok,
difg_msk_2023,37910594,PMC10841595,10.1158/1078-0432.CCR-23-1180,ok,
escc_ucla_2014,24686850,PMC4070589,10.1038/ng.2935,ok,
hcc_msk_venturaa_2018,30052636,PMC6063411,10.1371/journal.pone.0200776,ok,
gct_msk_2020,32897884,PMC7685753,10.1172/JCI139682,ok,
egc_msk_tp53_ccr_2022,35377946,PMC9197876,10.1158/1078-0432.CCR-21-4016,ok,
gbc_mskcc_2022,36228155,PMC9772093,10.1158/1078-0432.CCR-22-1954,ok,
gist_msk_2022,36593350,PMC9807588,10.1038/s41698-022-00342-z,ok,
egc_msk_2023,37699004,PMC10852615,10.1093/jnci/djad186,ok,
hcc_jcopo_msk_2023,37769223,PMC10581608,10.1200/PO.23.00272,ok,
histiocytosis_cobi_msk_2019,30867592,PMC6438729,10.1038/s41586-019-1012-y,ok,
ihch_ismms_2015,25608663,PMC12463604,,error;elink,Identifier not found in PMC
lgsoc_mapk_msk_2022,35443055,PMC9582036,10.1158/1078-0432.CCR-21-4183,ok,
luad_tsp,18948947,PMC2694412,10.1038/nature07423,ok,
lymphoma_cellline_msk_2020,33067607,PMC8057264,10.1182/blood.2020008017,ok,
lung_msk_mind_2020,36038778,PMC9586871,10.1038/s43018-022-00416-8,ok,
mbc_msk_2021,33863915,PMC8052452,10.1038/s41523-021-00250-8,ok,
mnm_washu_2016,27959731,PMC5217532,10.1056/NEJMoa1605949,ok,
metastatic_solid_tumors_mich_2017,28783718,PMC5995337,10.1038/nature23306,ok,
mixed_kunga_msk_2022,35585047,PMC9117241,10.1038/s41467-022-30233-7,ok,
msk_ch_ped_2021,35078859,PMC9983778,10.1158/1078-0432.CCR-21-2451,ok,
mtnn_msk_2022,37078708,PMC10480533,10.1182/bloodadvances.2023009953,ok,
msk_ch_2023,38147626,PMC10875331,10.1182/bloodadvances.2023011262,ok,
nsclc_unito_2016,27346245,PMC12433863,,error;elink,Identifier not found in PMC
nsclc_ctdx_msk_2022,36357680,PMC10338177,10.1038/s41591-022-02047-z,ok,
pediatric_dkfz_2017,29489754,PMC12541558,,error;elink,Identifier not found in PMC
paired_bladder_2022,36543146,PMC9882421,10.1016/j.celrep.2022.111859,ok,
scco_mskcc,24658004,PMC5699446,10.1038/ng.2922,ok,
sarc_mskcc,20601955,PMC2911503,10.1038/ng.619,ok,
rectal_msk_2019,31591597,PMC7385919,10.1038/s41591-019-0584-2,ok,
rbl_cfdna_msk_2020,32633890,PMC7476838,10.1002/cam4.3144,ok,
rbl_mskcc_2020,33466343,PMC7796332,10.3390/cancers13010149,ok,
rms_msk_2023,37315267,PMC10309566,10.1200/PO.22.00705,ok,
sarcoma_msk_2023,37350195,PMC10756077,10.1002/path.6137,ok,
skcm_vanderbilt_mskcc_2015,32913971,PMC7446400,10.1200/PO.16.00054,ok,
soft_tissue_msk_2023,37730754,PMC10511463,10.1038/s41698-023-00445-1,ok,
ucec_ccr_msk_2022,35849120,PMC9529954,10.1158/1078-0432.CCR-22-0713,ok,
ucec_ancestry_cds_msk_2023,37651310,PMC11149479,10.1158/2159-8290.CD-23-0546,ok,
ucec_msk_2024,38653864,PMC11108776,10.1038/s41591-024-02942-7,ok,
urcc_mskcc_2016,27713405,PMC5059781,10.1038/ncomms13131,ok,
utuc_mskcc_2015,26278805,PMC4675454,10.1016/j.eururo.2015.07.039,ok,
utuc_msk_2019,32332851,PMC7181640,10.1038/s41467-020-15885-7,ok,
utuc_pdx_msk_2019,32332851,PMC7181640,10.1038/s41467-020-15885-7,ok,
plmeso_msk_2024,38630790,PMC11216861,10.1158/1078-0432.CCR-24-0085,ok,
pancreas_msk_2024,39214094,PMC11419252,10.1016/j.ccell.2024.08.002,ok,
lms_msk_2024,38488807,PMC11096044,10.1158/1078-0432.CCR-24-0148,ok,
prostate_msk_2024,38949888,PMC11371520,10.1158/1078-0432.CCR-23-3403,ok,
panet_msk_2018,30687805,PMC6345401,10.1200/PO.17.00267,ok,
makeanimpact_ccr_2023,36862133,PMC10330105,10.1158/1078-0432.CCR-22-3247,ok,
acbc_mskcc_2015,26095796,PMC4676955,10.1002/path.4573,ok,
blca_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
blca_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
blca_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
blca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
blca_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
blca_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
blca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
blca_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
blca_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
blca_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
blca_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
acc_2019,31483290,PMC6763222,10.1172/JCI128227,ok,
blca_msk_tcga_2020,30290956,PMC6339572,10.1016/j.eururo.2018.09.002,ok,
pcnsl_msk_2024,38995739,PMC11398981,10.1158/1078-0432.CCR-24-0605,ok,
msk_ctdna_vte_2024,39147831,PMC11405286,10.1038/s41591-024-03195-0,ok,
cellline_ccle_broad,22460905,PMC3320027,10.1038/nature11003,ok,
ccrcc_irc_2014,24487277,PMC4636053,10.1038/ng.2891,ok,
ccrcc_utokyo_2013,23797736,PMC12533196,,error;elink,Identifier not found in PMC
coadread_genentech,22895193,PMC3690621,10.1038/nature11282,ok,
cellline_nci60,22802077,PMC3399763,10.1158/0008-5472.CAN-12-1370,ok,
cll_iuopa_2015,26200345,PMC12487679,,error;elink,Identifier not found in PMC
brca_metabric,27161491,PMC4866047,10.1038/ncomms11479,ok,
brca_metabric,30867590,PMC6647838,10.1038/s41586-019-1007-8,ok,
brca_metabric,22522925,PMC3440846,10.1038/nature10983,ok,
coadread_dfci_2016,27149842,PMC4850357,10.1016/j.celrep.2016.03.075,ok,
cll_broad_2015,26466571,PMC4815041,10.1038/nature15395,ok,
brca_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
brca_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
brca_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
brca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
brca_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
brca_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
brca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
brca_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
brca_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
brca_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
brca_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
brca_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
cesc_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
cesc_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
cesc_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
cesc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
cesc_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
cesc_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
cesc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
cesc_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
cesc_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
cesc_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
cesc_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
cesc_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
chol_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
chol_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
chol_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
chol_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
chol_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
chol_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
chol_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
chol_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
chol_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
chol_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
chol_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
ccle_broad_2019,31068700,PMC6697103,10.1038/s41586-019-1186-3,ok,
ccle_broad_2019,31978347,PMC7339254,10.1016/j.cell.2019.12.023,ok,
coad_cptac_2019,31031003,PMC6768830,10.1016/j.cell.2019.03.030,ok,
coadread_cass_2020,32888432,PMC12545938,,error;elink,Identifier not found in PMC
cll_broad_2022,35927489,PMC10084830,10.1038/s41588-022-01140-w,ok,
coadread_tcga_pub,22810696,PMC3401966,10.1038/nature11252,ok,
desm_broad_2015,26343386,PMC4589486,10.1038/ng.3382,ok,
dlbc_broad_2012,22343534,PMC3309757,10.1073/pnas.1121343109,ok,
cscc_hgsc_bcm_2014,25303977,PMC4367811,10.1158/1078-0432.CCR-14-1768,ok,
coadread_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
coadread_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
coadread_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
coadread_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
coadread_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
coadread_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
coadread_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
coadread_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
coadread_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
coadread_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
coadread_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
coadread_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
dlbc_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
dlbc_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
dlbc_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
dlbc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
dlbc_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
dlbc_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
dlbc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
dlbc_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
dlbc_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
dlbc_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
dlbc_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
difg_glass_2019,31748746,PMC6897368,10.1038/s41586-019-1775-1,ok,
cscc_ucsf_2021,34272401,PMC8285521,10.1038/s41525-021-00226-4,ok,
cscc_ranson_2022,35982973,PMC9379253,10.3389/fonc.2022.919118,ok,
difg_glass,35649412,PMC9189056,10.1016/j.cell.2022.04.038,ok,
difg_glass,38117484,PMC10911804,10.1158/0008-5472.CAN-23-2093,ok,
es_dfarber_broad_2014,25186949,PMC12552549,,error;elink,Identifier not found in PMC
esca_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
esca_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
esca_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
esca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
esca_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
esca_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
esca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
esca_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
esca_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
esca_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
esca_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
gist_msk_2023,37477937,PMC11095631,10.1158/1078-0432.CCR-23-1184,ok,
kirc_tcga_pub,23792563,PMC3771322,10.1038/nature12222,ok,
hcc_msk_2024,38864854,PMC11326964,10.1158/1078-0432.CCR-24-0657,ok,
laml_tcga_pub,23634996,PMC3767041,10.1056/NEJMoa1301689,ok,
luad_mskcc_2023_met_organotropism,37084736,PMC10391526,10.1016/j.ccell.2023.03.018,ok,
mbl_sickkids_2016,26760213,PMC4936195,10.1038/nature16478,ok,
mixed_pipseq_2017,28007021,PMC5180407,10.1186/s13073-016-0389-6,ok,
mds_mskcc_2020,27276561,PMC4979995,10.1056/NEJMoa1516192,ok,
mds_mskcc_2020,30333627,PMC6280667,10.1038/s41586-018-0623-z,ok,
mds_mskcc_2020,24030381,PMC3837510,10.1182/blood-2013-08-518886,ok,
mixed_msk_tcga_2021,34635660,PMC8505423,10.1038/s41523-021-00339-0,ok,
nhl_bcgsc_2011,21796119,PMC3210554,10.1038/nature10351,ok,
nhl_bcgsc_2013,23699601,PMC3744992,10.1182/blood-2013-02-483727,ok,
prad_broad_2013,23622249,PMC3690918,10.1016/j.cell.2013.03.021,ok,
prad_mskcc,20579941,PMC3198787,10.1016/j.ccr.2010.05.026,ok,
prad_tcga_pub,26544944,PMC4695400,10.1016/j.cell.2015.10.025,ok,
pcpg_tcga_pub,28162975,PMC5643159,10.1016/j.ccell.2017.01.001,ok,
pptc_2019,31693904,PMC6880934,10.1016/j.celrep.2019.09.071,ok,
prad_cdk12_mskcc_2020,32317181,PMC7572747,10.1016/j.eururo.2020.03.024,ok,
prad_pik3r1_msk_2021,35670774,PMC9438279,10.1158/1078-0432.CCR-21-4272,ok,
pog570_bcgsc_2020,35121966,PMC12504664,,error;elink,Identifier not found in PMC
prad_organoids_msk_2022,35617398,PMC9299269,10.1126/science.abe1505,ok,
ptad_msk_2024,38758238,PMC11101347,10.1007/s00401-024-02736-8,ok,
prad_msk_mdanderson_2023,38488813,PMC11094415,10.1158/1078-0432.CCR-23-2438,ok,
stad_tcga_pub,25079317,PMC4170219,10.1038/nature13480,ok,
rectal_msk_2022,35970919,PMC9801308,10.1038/s41591-022-01930-z,ok,
sarcoma_msk_2022,35705558,PMC9200814,10.1038/s41467-022-30496-0,ok,
hnsc_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
hnsc_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
hnsc_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
hnsc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
hnsc_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
hnsc_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
hnsc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
hnsc_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
hnsc_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
hnsc_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
hnsc_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
hnsc_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
kich_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
kich_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
kich_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
kich_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
kich_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
kich_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
kich_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
kich_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
kich_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
kich_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
kich_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
kirc_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
kirc_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
kirc_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
kirc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
kirc_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
kirc_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
